#{"t_start": 1591703714.7763894, "env_id": "gvgai-golddigger-lvl0-v0"}
r,l,t
41.0,2000,208.310005
-4.0,516,278.773615
-4.0,148,298.554031
-5.0,324,341.861583
-5.0,317,384.593659
-4.0,1460,587.446229
-5.0,214,617.577539
8.0,1016,760.992123
-5.0,137,779.782169
-5.0,150,800.416399
71.0,2000,1081.72403
70.0,2000,1439.289546
62.0,2000,1723.01217
0.0,870,1839.87492
24.0,588,1918.261458
-4.0,588,1996.698007
-4.0,385,2048.491725
3.0,2000,2320.299103
2.0,1524,2532.61785
-5.0,633,2622.784367
1.0,572,2703.765729
16.0,2000,2976.344495
-4.0,1556,3185.078182
-5.0,882,3303.497751
6.0,2000,3578.732839
-3.0,692,3671.986374
-5.0,685,3764.713756
12.0,1412,3954.701838
-4.0,160,3976.382339
-4.0,308,4018.305812
49.0,2000,4302.331164
-5.0,304,4346.355658
-5.0,187,4373.14185
41.0,941,4509.041828
-5.0,164,4532.873625
8.0,2000,4812.467463
67.0,2000,5080.337474
-1.0,1006,5215.774787
-4.0,688,5310.280255
-5.0,1541,5548.866328
-5.0,464,5623.26214
39.0,1012,5776.253374
45.0,1212,5958.05824
43.0,2000,6249.448589
-4.0,708,6352.878412
-4.0,904,6482.953917
47.0,920,6608.593903
1.0,2000,6878.341094
-4.0,1006,7014.845947
14.0,1328,7194.40647
13.0,484,7259.438338
-5.0,456,7320.997703
23.0,2000,7589.419137
-5.0,204,7617.037656
-5.0,328,7661.12169
-5.0,676,7751.802354
-5.0,156,7772.70157
2.0,2000,8038.908524
-5.0,416,8094.918181
-5.0,508,8162.897716
-5.0,470,8225.702164
-5.0,388,8277.589661
37.0,2000,8559.950679
9.0,2000,8835.534317
16.0,825,8946.886527
4.0,1079,9092.062238
63.0,2000,9361.89252
88.0,2000,9632.408795
-5.0,748,9734.437583
17.0,1536,9942.436251
-5.0,228,9974.51028
-5.0,152,9996.285644
-5.0,924,10126.636765
0.0,662,10220.325538
-10.0,420,10279.361693
0.0,107,10294.533627
-5.0,349,10343.638577
66.0,2000,10620.880532
56.0,2000,10891.040532
-5.0,228,10922.041657
-5.0,212,10950.765746
-5.0,156,10971.817965
8.0,1176,11131.434018
5.0,2000,11405.676322
4.0,1092,11555.706539
23.0,1541,11770.840888
-5.0,408,11835.457914
17.0,2000,12139.052593
14.0,2000,12436.954813
5.0,1508,12654.021996
20.0,1959,12934.565222
-5.0,593,13014.413845
0.0,133,13032.278804
-5.0,560,13108.461785
-5.0,486,13174.30921
6.0,348,13221.153834
1.0,708,13316.522008
-5.0,624,13400.794448
-5.0,260,13436.369915
0.0,70,13445.664629
-4.0,252,13479.993712
20.0,2000,13752.839492
1.0,689,13847.506172
-5.0,268,13884.185643
-5.0,524,13956.902857
-5.0,93,13969.675832
13.0,1132,14125.270581
26.0,2000,14402.32834
35.0,2000,14678.21044
0.0,521,14750.225712
42.0,2000,15033.45637
2.0,1028,15180.524321
6.0,2000,15470.22006
25.0,2000,15758.866663
16.0,2000,16046.344555
-5.0,273,16085.517802
0.0,1063,16239.214583
1.0,771,16349.273397
25.0,1738,16583.72144
17.0,396,16636.657398
50.0,2000,16906.190434
49.0,2000,17185.576563
1.0,892,17312.194054
-4.0,308,17355.97769
-2.0,79,17367.684244
4.0,488,17437.062649
1.0,540,17514.007364
46.0,2000,17802.746226
-5.0,135,17822.458663
-5.0,468,17890.241038
10.0,1184,18061.757577
-5.0,103,18077.089658
-2.0,252,18113.697701
13.0,481,18184.118302
12.0,1191,18349.432112
75.0,2000,18626.679828
4.0,212,18656.134305
32.0,1276,18832.937772
11.0,100,18846.738088
38.0,2000,19121.354892
0.0,688,19215.681764
43.0,2000,19494.646018
1.0,888,19624.410163
1.0,148,19646.095756
0.0,1239,19823.98021
-5.0,100,19838.609618
67.0,2000,20123.816464
-4.0,504,20195.306578
0.0,350,20245.142699
0.0,96,20258.701945
0.0,16,20261.093714
13.0,2000,20543.432439
1.0,580,20625.649794
0.0,60,20634.221993
0.0,167,20658.225657
1.0,142,20678.362278
30.0,180,20704.045599
